lastUpdated,title,url
" This page was last edited on 18 March 2021, at 16:28",Sachin Tendulkar,https://en.wikipedia.org/wiki/Sachin_Tendulkar
" This page was last edited on 17 March 2021, at 10:24",List of India national cricket captains,https://en.wikipedia.org/wiki/List_of_India_national_cricket_captains
" This page was last edited on 17 March 2021, at 05:07",International cricket,https://en.wikipedia.org/wiki/International_cricket
" This page was last edited on 15 March 2021, at 18:48",Batting (cricket),https://en.wikipedia.org/wiki/Batting_(cricket)
" This page was last edited on 10 February 2021, at 14:54",Century (cricket),https://en.wikipedia.org/wiki/Century_(cricket)
" This page was last edited on 20 March 2021, at 04:31",List of cricketers by number of international centuries scored,https://en.wikipedia.org/wiki/List_of_cricketers_by_number_of_international_centuries_scored
" This page was last edited on 1 March 2021, at 11:37",Wisden Cricketers' Almanack,https://en.wikipedia.org/wiki/Wisden_Cricketers%27_Almanack
" This page was last edited on 26 February 2021, at 19:33",Cricket,https://en.wikipedia.org/wiki/Cricket
" This page was last edited on 20 March 2021, at 09:18",Karachi,https://en.wikipedia.org/wiki/Karachi
" This page was last edited on 4 January 2021, at 20:02","Member of parliament, Rajya Sabha","https://en.wikipedia.org/wiki/Member_of_parliament,_Rajya_Sabha"
" This page was last edited on 14 January 2021, at 19:39",Stumped,https://en.wikipedia.org/wiki/Stumped
" This page was last edited on 16 March 2021, at 08:17",Five-wicket haul,https://en.wikipedia.org/wiki/Five-wicket_haul
" This page was last edited on 19 February 2021, at 02:04",Bowling average,https://en.wikipedia.org/wiki/Bowling_average
" This page was last edited on 22 March 2021, at 11:02",India national cricket team,https://en.wikipedia.org/wiki/Indian_cricket_team
" This page was last edited on 1 February 2021, at 19:18",Indo-Asian News Service,https://en.wikipedia.org/wiki/Indo-Asian_News_Service
" This page was last edited on 18 March 2021, at 05:53",The Economic Times,https://en.wikipedia.org/wiki/The_Economic_Times
" This page was last edited on 30 December 2020, at 23:13",Ajit Wadekar,https://en.wikipedia.org/wiki/Ajit_Wadekar
" This page was last edited on 18 March 2021, at 07:54",Rediff.com,https://en.wikipedia.org/wiki/Rediff
" This page was last edited on 17 March 2021, at 07:51",Wicket,https://en.wikipedia.org/wiki/Wicket
" This page was last edited on 19 March 2021, at 14:15",List of nominated members of the Rajya Sabha,https://en.wikipedia.org/wiki/List_of_nominated_members_of_Rajya_Sabha
" This page was last edited on 20 December 2020, at 15:20",Mail & Guardian,https://en.wikipedia.org/wiki/Mail_%26_Guardian_Online
" This page was last edited on 1 March 2021, at 20:06",Daily Mirror,https://en.wikipedia.org/wiki/Daily_Mirror
" This page was last edited on 18 March 2021, at 10:04",BBC,https://en.wikipedia.org/wiki/British_Broadcasting_Corporation
lastUpdated,title,url
" This page was last edited on 18 March 2021, at 16:28",Sachin Tendulkar,https://en.wikipedia.org/wiki/Sachin_Tendulkar
" This page was last edited on 4 January 2021, at 20:02","Member of parliament, Rajya Sabha","https://en.wikipedia.org/wiki/Member_of_parliament,_Rajya_Sabha"
" This page was last edited on 20 March 2021, at 04:31",List of cricketers by number of international centuries scored,https://en.wikipedia.org/wiki/List_of_cricketers_by_number_of_international_centuries_scored
" This page was last edited on 14 January 2021, at 19:39",Stumped,https://en.wikipedia.org/wiki/Stumped
" This page was last edited on 19 March 2021, at 14:15",List of nominated members of the Rajya Sabha,https://en.wikipedia.org/wiki/List_of_nominated_members_of_Rajya_Sabha
" This page was last edited on 17 March 2021, at 05:07",International cricket,https://en.wikipedia.org/wiki/International_cricket
" This page was last edited on 15 March 2021, at 18:48",Batting (cricket),https://en.wikipedia.org/wiki/Batting_(cricket)
" This page was last edited on 10 February 2021, at 14:54",Century (cricket),https://en.wikipedia.org/wiki/Century_(cricket)
" This page was last edited on 17 March 2021, at 10:24",List of India national cricket captains,https://en.wikipedia.org/wiki/List_of_India_national_cricket_captains
" This page was last edited on 26 February 2021, at 19:33",Cricket,https://en.wikipedia.org/wiki/Cricket
" This page was last edited on 20 March 2021, at 11:21",The Independent,https://en.wikipedia.org/wiki/The_Independent
" This page was last edited on 16 March 2021, at 08:17",Five-wicket haul,https://en.wikipedia.org/wiki/Five-wicket_haul
" This page was last edited on 19 February 2021, at 02:04",Bowling average,https://en.wikipedia.org/wiki/Bowling_average
" This page was last edited on 17 March 2021, at 07:51",Wicket,https://en.wikipedia.org/wiki/Wicket
" This page was last edited on 23 December 2020, at 03:34",Delivery (cricket),https://en.wikipedia.org/wiki/Delivery_(cricket)
" This page was last edited on 22 February 2021, at 19:06",Not out,https://en.wikipedia.org/wiki/Not_out
" This page was last edited on 22 March 2021, at 02:17",Batting average (cricket),https://en.wikipedia.org/wiki/Batting_average_(cricket)
" This page was last edited on 21 March 2021, at 12:58",Wasim Jaffer,https://en.wikipedia.org/wiki/Wasim_Jaffer
